ID,Name,Specialty,Hospital_Group,City,District,State,Rating_5_Scale,Review_Summary,,,,,,,,
368,Apollo Super Speciality Hospital,Orthopedics,Apollo Group,Vellore,Vellore District,Tamil Nadu,4.7,Caring doctors and quick emergency response.,,,,,,,,
369,City Super Speciality Hospital,Cardiology,City Health Org,Patna,Patna District,Bihar,3.9,"Very skilled specialists, especially in their department.",,,,,,,,
370,City Health Institute,General,Aster DM Healthcare,Hyderabad,Hyderabad District,Telangana,3.6,Modern equipment but billing could be better.,,,,,,,,
371,Harmony Care Hospital,Nephrology,Manipal Hospitals,Erode,Erode District,Tamil Nadu,3.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
372,National Medical Center,Radiology,Apollo Group,Kochi,Kochi District,Kerala,3.9,Modern equipment but billing could be better.,,,,,,,,
373,Yashodha Health Centre,General,Max Healthcare,Ahmedabad,Ahmedabad District,Gujarat,4.5,Exceptional care and professional staff.,,,,,,,,
374,Raj Care Hospital,Pediatrics,Global Health Group,Coimbatore,Coimbatore District,Tamil Nadu,4.1,Good value for money and efficient treatment.,,,,,,,,
375,Raj Clinic,Pulmonology,Apollo Group,Vellore,Vellore District,Tamil Nadu,3.6,Exceptional care and professional staff.,,,,,,,,
376,Prime Care Hospital,Cardiology,Global Health Group,Vellore,Vellore District,Tamil Nadu,4.4,Modern equipment but billing could be better.,,,,,,,,
377,Sunrise Hospital & Research,Gastroenterology,Max Healthcare,Mumbai,Mumbai District,Maharashtra,4.8,Average service; room service needs improvement.,,,,,,,,
378,Sanjeevani Clinic,Rheumatology,Global Health Group,Ahmedabad,Ahmedabad District,Gujarat,4.6,Highly recommended for specialized surgery.,,,,,,,,
379,Metro Health Centre,ENT,Apollo Group,Nagpur,Nagpur District,Maharashtra,3.9,Caring doctors and quick emergency response.,,,,,,,,
380,Sunrise Hospital,Gastroenterology,Fortis Healthcare,Chennai,Chennai District,Tamil Nadu,3.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
381,Swasth Hospital & Research,Cardiology,Manipal Hospitals,Dehradun,Dehradun District,Uttarakhand,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
382,CarePlus Super Speciality Hospital,Pediatrics,Apollo Group,Chennai,Chennai District,Tamil Nadu,3.9,Highly recommended for specialized surgery.,,,,,,,,
383,LifeCare Clinic,Endocrinology,CarePlus Hospitals,Surat,Surat District,Gujarat,4.5,Caring doctors and quick emergency response.,,,,,,,,
384,Crystal Medical Center,Nephrology,Narayana Health,Amritsar,Amritsar District,Punjab,4.3,Highly recommended for specialized surgery.,,,,,,,,
385,Apollo Health Institute,Obstetrics & Gynecology,Narayana Health,Coimbatore,Coimbatore District,Tamil Nadu,3.2,Caring doctors and quick emergency response.,,,,,,,,
386,Vijaya Care Hospital,Ophthalmology,Apollo Group,Surat,Surat District,Gujarat,4.2,Good value for money and efficient treatment.,,,,,,,,
387,Raj Clinic,Pediatrics,Aster DM Healthcare,Jaipur,Jaipur District,Rajasthan,4.6,Average service; room service needs improvement.,,,,,,,,
388,LifeCare Care Hospital,Pulmonology,Prime Medical Group,Thane,Thane District,Maharashtra,4.1,Caring doctors and quick emergency response.,,,,,,,,
389,Trinity Health Institute,Urology,Apollo Group,Gurugram,Gurugram District,Haryana,3.3,Exceptional care and professional staff.,,,,,,,,
390,Apollo Hospital & Research,General,City Health Org,Nagpur,Nagpur District,Maharashtra,3.6,"Very skilled specialists, especially in their department.",,,,,,,,
391,Global Medical Center,Urology,Apollo Group,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
392,LifeCare Super Speciality Hospital,Nephrology,Swasthya Foundation,Kolkata,Kolkata District,West Bengal,4.1,"Very skilled specialists, especially in their department.",,,,,,,,
393,Swasth Care Hospital,Pulmonology,Apollo Group,Mumbai,Mumbai District,Maharashtra,4.6,Exceptional care and professional staff.,,,,,,,,
394,LifeCare Medical Center,Oncology,Narayana Health,Raipur,Raipur District,Chhattisgarh,4.9,Highly recommended for specialized surgery.,,,,,,,,
395,Vijaya Super Speciality Hospital,Gastroenterology,Prime Medical Group,Agra,Agra District,Uttar Pradesh,4.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
396,Yashodha Hospital & Research,Nephrology,Swasthya Foundation,Amritsar,Amritsar District,Punjab,4.1,Caring doctors and quick emergency response.,,,,,,,,
397,Trinity Clinic,Pediatrics,City Health Org,Coimbatore,Coimbatore District,Tamil Nadu,3.4,Average service; room service needs improvement.,,,,,,,,
398,Trinity Hospital,Orthopedics,Global Health Group,Noida,Noida District,Uttar Pradesh,5,Caring doctors and quick emergency response.,,,,,,,,
399,Crystal Health Institute,Neurology,Apollo Group,Amritsar,Amritsar District,Punjab,3.9,Highly recommended for specialized surgery.,,,,,,,,
400,Harmony Super Speciality Hospital,Endocrinology,City Health Org,Ahmedabad,Ahmedabad District,Gujarat,4.5,"Very skilled specialists, especially in their department.",,,,,,,,
401,Harmony Super Speciality Hospital,Rheumatology,Apollo Group,Bengaluru,Bengaluru District,Karnataka,3.1,Highly recommended for specialized surgery.,,,,,,,,
402,Yashodha Hospital,Urology,Narayana Health,Kolhapur,Kolhapur District,Maharashtra,3.1,Exceptional care and professional staff.,,,,,,,,
403,Trinity Medical Center,Gastroenterology,Max Healthcare,Patna,Patna District,Bihar,3.6,Excellent diagnostics and attentive staff.,,,,,,,,
404,Yashodha Health Centre,Oncology,Apollo Group,Amritsar,Amritsar District,Punjab,4,Average service; room service needs improvement.,,,,,,,,
405,Trinity Clinic,Oncology,Max Healthcare,Amritsar,Amritsar District,Punjab,3.5,Average service; room service needs improvement.,,,,,,,,
406,Swasth Hospital & Research,Dermatology,Aster DM Healthcare,Vellore,Vellore District,Tamil Nadu,4.3,Excellent diagnostics and attentive staff.,,,,,,,,
407,Aster Health Institute,Plastic Surgery,Prime Medical Group,Indore,Indore District,Madhya Pradesh,3.2,Exceptional care and professional staff.,,,,,,,,
408,Sujatha Care Hospital,Neurology,Independent,Chandigarh,Chandigarh District,Chandigarh,3.4,"Very skilled specialists, especially in their department.",,,,,,,,
409,Apollo Super Speciality Hospital,Radiology,City Health Org,Thoothukudi,Thoothukudi District,Tamil Nadu,4.3,Highly recommended for specialized surgery.,,,,,,,,
410,Sujatha Hospital,Oncology,Apollo Group,Chennai,Chennai District,Tamil Nadu,4.3,Average service; room service needs improvement.,,,,,,,,
411,National Hospital & Research,Plastic Surgery,CarePlus Hospitals,Varanasi,Varanasi District,Uttar Pradesh,4.2,Exceptional care and professional staff.,,,,,,,,
412,Raj Super Speciality Hospital,Nephrology,Prime Medical Group,Mysore,Mysore District,Karnataka,3,Good value for money and efficient treatment.,,,,,,,,
413,CarePlus Super Speciality Hospital,Pediatrics,Independent,Kolhapur,Kolhapur District,Maharashtra,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
414,Trinity Clinic,General,Manipal Hospitals,Raipur,Raipur District,Chhattisgarh,4.1,Good value for money and efficient treatment.,,,,,,,,
415,Metro Clinic,Cardiology,Fortis Healthcare,Bhavnagar,Bhavnagar District,Gujarat,4.4,Caring doctors and quick emergency response.,,,,,,,,
416,Global Health Institute,Cardiology,Prime Medical Group,Nagpur,Nagpur District,Maharashtra,4.5,Good experience overall but long waiting times.,,,,,,,,
417,Metro Health Institute,Rheumatology,Independent,Kolkata,Kolkata District,West Bengal,5,Highly recommended for specialized surgery.,,,,,,,,
418,City Care Hospital,Urology,Fortis Healthcare,Vellore,Vellore District,Tamil Nadu,4.7,Excellent diagnostics and attentive staff.,,,,,,,,
419,Fortis Hospital,Rheumatology,Manipal Hospitals,Indore,Indore District,Madhya Pradesh,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
420,Raj Hospital & Research,Radiology,CarePlus Hospitals,Nashik,Nashik District,Maharashtra,3.5,Average service; room service needs improvement.,,,,,,,,
421,National Care Hospital,General Surgery,CarePlus Hospitals,Raipur,Raipur District,Chhattisgarh,4.8,Good value for money and efficient treatment.,,,,,,,,
422,Prime Care Hospital,Radiology,Manipal Hospitals,Indore,Indore District,Madhya Pradesh,3.6,"Very skilled specialists, especially in their department.",,,,,,,,
423,Metro Care Hospital,Pulmonology,Swasthya Foundation,Raipur,Raipur District,Chhattisgarh,3.2,Average service; room service needs improvement.,,,,,,,,
424,Vijaya Care Hospital,Radiology,City Health Org,Delhi,Delhi District,Delhi,4.4,Good experience overall but long waiting times.,,,,,,,,
425,National Care Hospital,Orthopedics,Swasthya Foundation,Ahmedabad,Ahmedabad District,Gujarat,3.2,Good experience overall but long waiting times.,,,,,,,,
426,Metro Health Institute,Nephrology,Fortis Healthcare,Agra,Agra District,Uttar Pradesh,4.5,Modern equipment but billing could be better.,,,,,,,,
427,Metro Clinic,Dermatology,Independent,Pune,Pune District,Maharashtra,4.5,"Very skilled specialists, especially in their department.",,,,,,,,
428,Swasth Care Hospital,Gastroenterology,CarePlus Hospitals,Surat,Surat District,Gujarat,3.9,Exceptional care and professional staff.,,,,,,,,
429,Aster Hospital,Plastic Surgery,Fortis Healthcare,Chennai,Chennai District,Tamil Nadu,3.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
430,Prime Health Institute,Endocrinology,CarePlus Hospitals,Kanpur,Kanpur District,Uttar Pradesh,4.2,Average service; room service needs improvement.,,,,,,,,
431,Sunrise Medical Center,Nephrology,Narayana Health,Vijayawada,Vijayawada District,Andhra Pradesh,3.3,Highly recommended for specialized surgery.,,,,,,,,
432,Harmony Medical Center,Endocrinology,CarePlus Hospitals,Kolkata,Kolkata District,West Bengal,4.4,Good value for money and efficient treatment.,,,,,,,,
433,Trinity Care Hospital,Endocrinology,Global Health Group,Jaipur,Jaipur District,Rajasthan,4.3,Highly recommended for specialized surgery.,,,,,,,,
434,Sujatha Medical Center,Plastic Surgery,Prime Medical Group,Delhi,Delhi District,Delhi,3.4,Caring doctors and quick emergency response.,,,,,,,,
435,Swasth Health Centre,Emergency Medicine,Narayana Health,Mumbai,Mumbai District,Maharashtra,3.1,Caring doctors and quick emergency response.,,,,,,,,
436,Swasth Hospital & Research,Ophthalmology,Aster DM Healthcare,Nagpur,Nagpur District,Maharashtra,4,Good experience overall but long waiting times.,,,,,,,,
437,Global Care Hospital,Endocrinology,Manipal Hospitals,Jodhpur,Jodhpur District,Rajasthan,3.1,Highly recommended for specialized surgery.,,,,,,,,
438,City Health Institute,General Surgery,Narayana Health,Vellore,Vellore District,Tamil Nadu,3.1,"Very skilled specialists, especially in their department.",,,,,,,,
439,LifeCare Health Centre,Oncology,Manipal Hospitals,Coimbatore,Coimbatore District,Tamil Nadu,4,Good value for money and efficient treatment.,,,,,,,,
440,Aster Hospital,Oncology,Max Healthcare,Pune,Pune District,Maharashtra,3.9,Caring doctors and quick emergency response.,,,,,,,,
441,Prime Hospital & Research,Rheumatology,Fortis Healthcare,Raipur,Raipur District,Chhattisgarh,4.7,Average service; room service needs improvement.,,,,,,,,
442,Prime Hospital,Plastic Surgery,Swasthya Foundation,Mumbai,Mumbai District,Maharashtra,4.2,Good value for money and efficient treatment.,,,,,,,,
443,Harmony Health Centre,Radiology,Swasthya Foundation,Delhi,Delhi District,Delhi,3.4,Excellent diagnostics and attentive staff.,,,,,,,,
444,Metro Health Institute,Gastroenterology,Narayana Health,Gurugram,Gurugram District,Haryana,3,Modern equipment but billing could be better.,,,,,,,,
445,Fortis Health Institute,Cardiology,Apollo Group,Agra,Agra District,Uttar Pradesh,4.2,Excellent diagnostics and attentive staff.,,,,,,,,
446,Yashodha Hospital,Gastroenterology,Apollo Group,Kolkata,Kolkata District,West Bengal,3.8,Caring doctors and quick emergency response.,,,,,,,,
447,Sunrise Medical Center,Obstetrics & Gynecology,CarePlus Hospitals,Thoothukudi,Thoothukudi District,Tamil Nadu,3.3,Excellent diagnostics and attentive staff.,,,,,,,,
448,Trinity Health Centre,Oncology,Aster DM Healthcare,Lucknow,Lucknow District,Uttar Pradesh,3.4,Exceptional care and professional staff.,,,,,,,,
449,Aster Care Hospital,Plastic Surgery,CarePlus Hospitals,Pune,Pune District,Maharashtra,3.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
450,Sunrise Care Hospital,Obstetrics & Gynecology,Manipal Hospitals,Chandigarh,Chandigarh District,Chandigarh,3.8,Average service; room service needs improvement.,,,,,,,,
451,Harmony Super Speciality Hospital,Obstetrics & Gynecology,Manipal Hospitals,Bhopal,Bhopal District,Madhya Pradesh,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
452,Sunrise Medical Center,Nephrology,CarePlus Hospitals,Coimbatore,Coimbatore District,Tamil Nadu,3.6,Caring doctors and quick emergency response.,,,,,,,,
453,Swasth Health Institute,Radiology,City Health Org,Ahmedabad,Ahmedabad District,Gujarat,4.5,Good value for money and efficient treatment.,,,,,,,,
454,Harmony Care Hospital,Endocrinology,Max Healthcare,Nashik,Nashik District,Maharashtra,4.4,Caring doctors and quick emergency response.,,,,,,,,
455,Crystal Super Speciality Hospital,Plastic Surgery,Fortis Healthcare,Nashik,Nashik District,Maharashtra,3.6,Modern equipment but billing could be better.,,,,,,,,
456,Sanjeevani Super Speciality Hospital,Neurology,Swasthya Foundation,Surat,Surat District,Gujarat,4.4,Excellent diagnostics and attentive staff.,,,,,,,,
457,Yashodha Hospital & Research,Orthopedics,Manipal Hospitals,Amritsar,Amritsar District,Punjab,3.6,Exceptional care and professional staff.,,,,,,,,
458,Sanjeevani Health Institute,Orthopedics,Apollo Group,Thoothukudi,Thoothukudi District,Tamil Nadu,4.3,Excellent diagnostics and attentive staff.,,,,,,,,
459,Sujatha Super Speciality Hospital,General,Aster DM Healthcare,Amritsar,Amritsar District,Punjab,3.4,Good value for money and efficient treatment.,,,,,,,,
460,Harmony Hospital & Research,Neurology,Independent,Jodhpur,Jodhpur District,Rajasthan,4.1,Good experience overall but long waiting times.,,,,,,,,
461,Crystal Medical Center,Radiology,Global Health Group,Ranchi,Ranchi District,Jharkhand,4.2,"Very skilled specialists, especially in their department.",,,,,,,,
462,Apollo Care Hospital,Urology,CarePlus Hospitals,Jodhpur,Jodhpur District,Rajasthan,4.8,Modern equipment but billing could be better.,,,,,,,,
463,Prime Health Centre,ENT,Independent,Jamshedpur,Jamshedpur District,Jharkhand,3.9,Modern equipment but billing could be better.,,,,,,,,
464,Crystal Medical Center,Pediatrics,Narayana Health,Jaipur,Jaipur District,Rajasthan,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
465,Sujatha Hospital & Research,Pediatrics,Fortis Healthcare,Thoothukudi,Thoothukudi District,Tamil Nadu,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
466,Metro Care Hospital,Rheumatology,Manipal Hospitals,Jamshedpur,Jamshedpur District,Jharkhand,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
467,CarePlus Medical Center,Nephrology,Independent,Chennai,Chennai District,Tamil Nadu,3.9,Average service; room service needs improvement.,,,,,,,,
468,Crystal Super Speciality Hospital,Cardiology,Independent,Lucknow,Lucknow District,Uttar Pradesh,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
469,Trinity Health Centre,Pediatrics,Aster DM Healthcare,Vijayawada,Vijayawada District,Andhra Pradesh,3.5,Highly recommended for specialized surgery.,,,,,,,,
470,Global Health Institute,Pediatrics,Aster DM Healthcare,Raipur,Raipur District,Chhattisgarh,3,Good value for money and efficient treatment.,,,,,,,,
471,Fortis Health Centre,Endocrinology,Narayana Health,Vellore,Vellore District,Tamil Nadu,3.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
472,Harmony Health Institute,Psychiatry,Apollo Group,Trivandrum,Trivandrum District,Kerala,3.4,Modern equipment but billing could be better.,,,,,,,,
473,Global Health Centre,Rheumatology,Fortis Healthcare,Thoothukudi,Thoothukudi District,Tamil Nadu,3.1,Modern equipment but billing could be better.,,,,,,,,
474,Sujatha Medical Center,Endocrinology,CarePlus Hospitals,Nagpur,Nagpur District,Maharashtra,4.2,Highly recommended for specialized surgery.,,,,,,,,
475,CarePlus Medical Center,Oncology,Independent,Patna,Patna District,Bihar,3.1,Exceptional care and professional staff.,,,,,,,,
476,Yashodha Health Centre,Psychiatry,Fortis Healthcare,Thoothukudi,Thoothukudi District,Tamil Nadu,3.7,Average service; room service needs improvement.,,,,,,,,
477,Fortis Hospital,Psychiatry,Manipal Hospitals,Jodhpur,Jodhpur District,Rajasthan,4.6,Modern equipment but billing could be better.,,,,,,,,
478,City Hospital & Research,Plastic Surgery,Global Health Group,Kolhapur,Kolhapur District,Maharashtra,4.9,Good value for money and efficient treatment.,,,,,,,,
479,Swasth Health Centre,Oncology,Prime Medical Group,Thoothukudi,Thoothukudi District,Tamil Nadu,4.8,Highly recommended for specialized surgery.,,,,,,,,
480,Apollo Clinic,Oncology,CarePlus Hospitals,Indore,Indore District,Madhya Pradesh,3.1,Exceptional care and professional staff.,,,,,,,,
481,LifeCare Super Speciality Hospital,Endocrinology,Apollo Group,Mysore,Mysore District,Karnataka,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
482,Apollo Care Hospital,Neurology,City Health Org,Dehradun,Dehradun District,Uttarakhand,3.5,Modern equipment but billing could be better.,,,,,,,,
483,Trinity Health Institute,Oncology,City Health Org,Ranchi,Ranchi District,Jharkhand,4.6,Highly recommended for specialized surgery.,,,,,,,,
484,Yashodha Hospital & Research,Ophthalmology,Apollo Group,Salem,Salem District,Tamil Nadu,4.2,Caring doctors and quick emergency response.,,,,,,,,
485,Metro Super Speciality Hospital,Psychiatry,Fortis Healthcare,Gurugram,Gurugram District,Haryana,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
486,Apollo Care Hospital,Cardiology,Apollo Group,Kanpur,Kanpur District,Uttar Pradesh,3,Highly recommended for specialized surgery.,,,,,,,,
487,Sujatha Super Speciality Hospital,Nephrology,Max Healthcare,Raipur,Raipur District,Chhattisgarh,4.2,Modern equipment but billing could be better.,,,,,,,,
488,Sunrise Clinic,Gastroenterology,Max Healthcare,Mumbai,Mumbai District,Maharashtra,5,Highly recommended for specialized surgery.,,,,,,,,
489,National Health Institute,Plastic Surgery,Swasthya Foundation,Indore,Indore District,Madhya Pradesh,4.9,Exceptional care and professional staff.,,,,,,,,
490,Swasth Super Speciality Hospital,Neurology,Narayana Health,Noida,Noida District,Uttar Pradesh,4.2,Good experience overall but long waiting times.,,,,,,,,
491,Crystal Medical Center,Radiology,Apollo Group,Dehradun,Dehradun District,Uttarakhand,3.5,Highly recommended for specialized surgery.,,,,,,,,
492,Fortis Medical Center,Endocrinology,Max Healthcare,Coimbatore,Coimbatore District,Tamil Nadu,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
493,Metro Clinic,Pulmonology,City Health Org,Vijayawada,Vijayawada District,Andhra Pradesh,3.4,Modern equipment but billing could be better.,,,,,,,,
494,LifeCare Hospital,Orthopedics,Narayana Health,Jaipur,Jaipur District,Rajasthan,3.2,Highly recommended for specialized surgery.,,,,,,,,
495,Vijaya Health Institute,Pediatrics,City Health Org,Jamshedpur,Jamshedpur District,Jharkhand,4.7,"Very skilled specialists, especially in their department.",,,,,,,,
496,Apollo Super Speciality Hospital,Plastic Surgery,Prime Medical Group,Gurugram,Gurugram District,Haryana,3.5,"Very skilled specialists, especially in their department.",,,,,,,,
497,LifeCare Hospital,Endocrinology,CarePlus Hospitals,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
498,City Hospital,Endocrinology,Prime Medical Group,Surat,Surat District,Gujarat,3.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
499,Prime Health Institute,Pulmonology,Prime Medical Group,Thoothukudi,Thoothukudi District,Tamil Nadu,4.7,Average service; room service needs improvement.,,,,,,,,
500,Sujatha Hospital,Oncology,Swasthya Foundation,Kolhapur,Kolhapur District,Maharashtra,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
501,City Hospital & Research,Neurology,Prime Medical Group,Salem,Salem District,Tamil Nadu,4,Caring doctors and quick emergency response.,,,,,,,,
502,Aster Health Institute,Pediatrics,Swasthya Foundation,Erode,Erode District,Tamil Nadu,4.4,Good value for money and efficient treatment.,,,,,,,,
503,Swasth Clinic,Orthopedics,Aster DM Healthcare,Durgapur,Durgapur District,West Bengal,4.8,Caring doctors and quick emergency response.,,,,,,,,
504,Crystal Medical Center,Psychiatry,CarePlus Hospitals,Dehradun,Dehradun District,Uttarakhand,4.1,Highly recommended for specialized surgery.,,,,,,,,
505,City Super Speciality Hospital,Cardiology,Fortis Healthcare,Ahmedabad,Ahmedabad District,Gujarat,4.9,Good experience overall but long waiting times.,,,,,,,,
506,Crystal Hospital,Gastroenterology,Narayana Health,Bhopal,Bhopal District,Madhya Pradesh,4.9,Excellent diagnostics and attentive staff.,,,,,,,,
507,Swasth Medical Center,Plastic Surgery,Independent,Noida,Noida District,Uttar Pradesh,4.6,Excellent diagnostics and attentive staff.,,,,,,,,
508,Prime Health Institute,Nephrology,Narayana Health,Ranchi,Ranchi District,Jharkhand,4.6,Good experience overall but long waiting times.,,,,,,,,
509,Vijaya Health Institute,Pediatrics,Prime Medical Group,Ranchi,Ranchi District,Jharkhand,3.6,Exceptional care and professional staff.,,,,,,,,
510,CarePlus Hospital & Research,Endocrinology,Fortis Healthcare,Patna,Patna District,Bihar,4.1,Excellent diagnostics and attentive staff.,,,,,,,,
511,Prime Medical Center,Oncology,Independent,Jodhpur,Jodhpur District,Rajasthan,4.9,Good value for money and efficient treatment.,,,,,,,,
512,Prime Care Hospital,Rheumatology,Narayana Health,Bhavnagar,Bhavnagar District,Gujarat,5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
513,Metro Medical Center,Cardiology,Narayana Health,Bengaluru,Bengaluru District,Karnataka,3.8,Exceptional care and professional staff.,,,,,,,,
514,Crystal Clinic,Endocrinology,Narayana Health,Durgapur,Durgapur District,West Bengal,3,Highly recommended for specialized surgery.,,,,,,,,
515,Trinity Hospital,Orthopedics,Swasthya Foundation,Jamshedpur,Jamshedpur District,Jharkhand,3.8,Modern equipment but billing could be better.,,,,,,,,
516,Sujatha Medical Center,Endocrinology,Max Healthcare,Chandigarh,Chandigarh District,Chandigarh,4.8,Average service; room service needs improvement.,,,,,,,,
517,Swasth Health Centre,Plastic Surgery,CarePlus Hospitals,Lucknow,Lucknow District,Uttar Pradesh,4.1,Exceptional care and professional staff.,,,,,,,,
518,Vijaya Care Hospital,Obstetrics & Gynecology,Prime Medical Group,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.5,Good value for money and efficient treatment.,,,,,,,,
519,Harmony Health Centre,Pediatrics,CarePlus Hospitals,Chandigarh,Chandigarh District,Chandigarh,4.5,Modern equipment but billing could be better.,,,,,,,,
520,Prime Super Speciality Hospital,Nephrology,Fortis Healthcare,Pune,Pune District,Maharashtra,4.8,Excellent diagnostics and attentive staff.,,,,,,,,
521,Aster Care Hospital,Gastroenterology,City Health Org,Jamshedpur,Jamshedpur District,Jharkhand,4.7,Good value for money and efficient treatment.,,,,,,,,
522,Vijaya Hospital,Neurology,Fortis Healthcare,Thane,Thane District,Maharashtra,3.9,Caring doctors and quick emergency response.,,,,,,,,
523,Prime Health Centre,ENT,Global Health Group,Chennai,Chennai District,Tamil Nadu,4.9,"Very skilled specialists, especially in their department.",,,,,,,,
524,Global Hospital & Research,Emergency Medicine,Swasthya Foundation,Jodhpur,Jodhpur District,Rajasthan,3.6,Exceptional care and professional staff.,,,,,,,,
525,Raj Super Speciality Hospital,Nephrology,Aster DM Healthcare,Erode,Erode District,Tamil Nadu,3.2,Excellent diagnostics and attentive staff.,,,,,,,,
526,Metro Hospital,Orthopedics,CarePlus Hospitals,Pune,Pune District,Maharashtra,3.6,Modern equipment but billing could be better.,,,,,,,,
527,Metro Health Institute,General,Prime Medical Group,Vadodara,Vadodara District,Gujarat,3.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
528,LifeCare Clinic,Neurology,Apollo Group,Vijayawada,Vijayawada District,Andhra Pradesh,4.6,Exceptional care and professional staff.,,,,,,,,
529,Apollo Medical Center,Dermatology,Apollo Group,Thoothukudi,Thoothukudi District,Tamil Nadu,3.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
530,Aster Hospital & Research,Plastic Surgery,Fortis Healthcare,Durgapur,Durgapur District,West Bengal,4,"Very skilled specialists, especially in their department.",,,,,,,,
531,Swasth Clinic,Nephrology,Narayana Health,Raipur,Raipur District,Chhattisgarh,4.8,Good value for money and efficient treatment.,,,,,,,,
532,Harmony Health Institute,Ophthalmology,CarePlus Hospitals,Erode,Erode District,Tamil Nadu,4.9,Good value for money and efficient treatment.,,,,,,,,
533,Global Medical Center,Gastroenterology,CarePlus Hospitals,Pune,Pune District,Maharashtra,4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
534,Yashodha Health Centre,Dermatology,CarePlus Hospitals,Pune,Pune District,Maharashtra,4.5,Average service; room service needs improvement.,,,,,,,,
535,Aster Health Institute,Ophthalmology,Independent,Srinagar,Srinagar District,Jammu & Kashmir,4,Good experience overall but long waiting times.,,,,,,,,
536,National Health Institute,Orthopedics,Apollo Group,Durgapur,Durgapur District,West Bengal,5,Highly recommended for specialized surgery.,,,,,,,,
537,CarePlus Health Centre,Oncology,Swasthya Foundation,Dehradun,Dehradun District,Uttarakhand,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
538,Raj Care Hospital,ENT,Max Healthcare,Thane,Thane District,Maharashtra,4.9,Excellent diagnostics and attentive staff.,,,,,,,,
539,Yashodha Hospital & Research,Cardiology,Fortis Healthcare,Nagpur,Nagpur District,Maharashtra,4.2,Highly recommended for specialized surgery.,,,,,,,,
540,Crystal Health Centre,Neurology,Global Health Group,Dehradun,Dehradun District,Uttarakhand,4.6,Average service; room service needs improvement.,,,,,,,,
541,Sujatha Care Hospital,Neurology,Independent,Trivandrum,Trivandrum District,Kerala,3.4,Average service; room service needs improvement.,,,,,,,,
542,Raj Medical Center,Ophthalmology,City Health Org,Trivandrum,Trivandrum District,Kerala,4,Average service; room service needs improvement.,,,,,,,,
543,Yashodha Hospital & Research,Neurology,Narayana Health,Durgapur,Durgapur District,West Bengal,3.1,"Very skilled specialists, especially in their department.",,,,,,,,
544,National Super Speciality Hospital,Orthopedics,Aster DM Healthcare,Trivandrum,Trivandrum District,Kerala,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
545,National Hospital & Research,Cardiology,Fortis Healthcare,Chandigarh,Chandigarh District,Chandigarh,4.1,Modern equipment but billing could be better.,,,,,,,,
546,Apollo Hospital & Research,Obstetrics & Gynecology,Manipal Hospitals,Durgapur,Durgapur District,West Bengal,3.8,Caring doctors and quick emergency response.,,,,,,,,
547,Trinity Health Centre,Gastroenterology,Aster DM Healthcare,Kanpur,Kanpur District,Uttar Pradesh,3.4,Modern equipment but billing could be better.,,,,,,,,
548,Yashodha Clinic,Endocrinology,City Health Org,Agra,Agra District,Uttar Pradesh,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
549,Swasth Hospital & Research,ENT,Apollo Group,Vijayawada,Vijayawada District,Andhra Pradesh,4.6,Average service; room service needs improvement.,,,,,,,,
550,Crystal Care Hospital,Rheumatology,Swasthya Foundation,Nashik,Nashik District,Maharashtra,4.1,Excellent diagnostics and attentive staff.,,,,,,,,
551,LifeCare Clinic,Pulmonology,Aster DM Healthcare,Agra,Agra District,Uttar Pradesh,3.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
