Flight_Number,Airline,Airline_Code,Origin_Code,Origin_City,Origin_Country,Destination_Code,Destination_City,Destination_Country,Departure_Time,Arrival_Time,Duration_Minutes,Stops,Economy_Price_INR,Business_Price_INR,Currency,Direction
BA1667,British Airways,BA,SYD,Sydney,Australia,CCU,Kolkata,India,2025-04-03 03:30,2025-04-03 07:41,251,2+ Stops,114854,258115,INR,To India
LH6866,Lufthansa,LH,CDG,Paris,France,BLR,Bengaluru,India,2025-08-26 01:00,2025-08-26 04:40,220,2+ Stops,87287,197564,INR,To India
BA1575,British Airways,BA,CDG,Paris,France,COK,Kochi,India,2025-02-10 11:15,2025-02-10 20:23,548,1 Stop,42242,98432,INR,To India
UK4531,Vistara,UK,DOH,Doha,Qatar,AMD,Ahmedabad,India,2025-05-15 03:00,2025-05-15 10:04,424,2+ Stops,35344,67947,INR,To India
EK3339,Emirates,EK,NRT,Tokyo,Japan,CCU,Kolkata,India,2025-03-26 18:00,2025-03-27 05:38,698,1 Stop,53584,112179,INR,To India
UK979,Vistara,UK,GOI,Goa,India,DXB,Dubai,UAE,2025-05-04 23:15,2025-05-05 03:52,277,1 Stop,21980,41423,INR,From India
UK1895,Vistara,UK,JFK,New York,USA,MAA,Chennai,India,2025-03-21 08:00,2025-03-21 18:14,614,1 Stop,71546,164512,INR,To India
EK1706,Emirates,EK,FRA,Frankfurt,Germany,BOM,Mumbai,India,2025-05-01 07:00,2025-05-01 14:11,431,Direct,29575,67411,INR,To India
UK276,Vistara,UK,YYZ,Toronto,Canada,TRV,Thiruvananthapuram,India,2025-06-06 10:00,2025-06-06 20:52,652,1 Stop,97576,247518,INR,To India
6E3438,IndiGo,6E,COK,Kochi,India,LHR,London,UK,2025-05-07 04:15,2025-05-07 09:49,334,Direct,65130,157363,INR,From India
6E1231,IndiGo,6E,SYD,Sydney,Australia,CCU,Kolkata,India,2025-01-03 15:00,2025-01-04 02:29,689,2+ Stops,88885,215404,INR,To India
AI9648,Air India,AI,FRA,Frankfurt,Germany,MAA,Chennai,India,2025-07-08 13:00,2025-07-09 03:06,846,Direct,114036,293880,INR,To India
QR6421,Qatar Airways,QR,AMD,Ahmedabad,India,SFO,San Francisco,USA,2025-06-06 01:45,2025-06-06 16:21,876,2+ Stops,97382,188120,INR,From India
6E9301,IndiGo,6E,TRV,Thiruvananthapuram,India,ICN,Seoul,South Korea,2025-02-05 08:15,2025-02-05 15:20,425,Direct,45954,104320,INR,From India
AI5713,Air India,AI,TRV,Thiruvananthapuram,India,FRA,Frankfurt,Germany,2025-07-21 21:45,2025-07-22 11:26,821,1 Stop,109503,264901,INR,From India
BA1912,British Airways,BA,BOM,Mumbai,India,DXB,Dubai,UAE,2025-08-08 09:00,2025-08-08 17:07,487,1 Stop,84101,192007,INR,From India
QR6553,Qatar Airways,QR,COK,Kochi,India,CDG,Paris,France,2025-08-24 04:30,2025-08-24 16:48,738,1 Stop,48004,89598,INR,From India
6E4060,IndiGo,6E,SIN,Singapore,Singapore,HYD,Hyderabad,India,2025-05-20 05:45,2025-05-20 15:42,597,Direct,106638,237860,INR,To India
UK5859,Vistara,UK,BKK,Bangkok,Thailand,DEL,New Delhi,India,2025-07-20 08:30,2025-07-20 14:04,334,2+ Stops,67497,130534,INR,To India
BA105,British Airways,BA,HYD,Hyderabad,India,NRT,Tokyo,Japan,2025-09-18 19:15,2025-09-19 01:01,346,Direct,71240,158277,INR,From India
QR8519,Qatar Airways,QR,NRT,Tokyo,Japan,MAA,Chennai,India,2025-07-01 21:00,2025-07-02 09:25,745,2+ Stops,116281,289516,INR,To India
QR6028,Qatar Airways,QR,BLR,Bengaluru,India,YYZ,Toronto,Canada,2025-08-03 02:30,2025-08-03 13:04,634,1 Stop,54910,140914,INR,From India
AI2050,Air India,AI,GOI,Goa,India,YYZ,Toronto,Canada,2025-09-14 15:30,2025-09-15 06:18,888,2+ Stops,22358,41263,INR,From India
UK4547,Vistara,UK,AMD,Ahmedabad,India,DOH,Doha,Qatar,2025-08-24 01:30,2025-08-24 12:44,674,Direct,37955,68533,INR,From India
AI9017,Air India,AI,CDG,Paris,France,TRV,Thiruvananthapuram,India,2025-07-21 05:30,2025-07-21 19:12,822,Direct,119936,239079,INR,To India
6E9523,IndiGo,6E,GOI,Goa,India,BKK,Bangkok,Thailand,2025-07-15 15:30,2025-07-16 06:17,887,1 Stop,56369,116084,INR,From India
UK2896,Vistara,UK,SIN,Singapore,Singapore,GOI,Goa,India,2025-04-14 16:00,2025-04-14 21:46,346,2+ Stops,60370,144325,INR,To India
QR7878,Qatar Airways,QR,DEL,New Delhi,India,CDG,Paris,France,2025-07-17 11:15,2025-07-17 18:53,458,Direct,60554,152171,INR,From India
6E7842,IndiGo,6E,AMD,Ahmedabad,India,BKK,Bangkok,Thailand,2025-05-15 11:45,2025-05-15 20:12,507,1 Stop,70530,171713,INR,From India
SQ8876,Singapore Airlines,SQ,CDG,Paris,France,MAA,Chennai,India,2025-09-15 13:15,2025-09-15 21:37,502,1 Stop,25760,49501,INR,To India
LH2084,Lufthansa,LH,BOM,Mumbai,India,DOH,Doha,Qatar,2025-07-06 22:45,2025-07-07 10:47,722,1 Stop,57797,143401,INR,From India
QR9087,Qatar Airways,QR,DEL,New Delhi,India,LHR,London,UK,2025-07-02 19:30,2025-07-03 03:01,451,Direct,51899,130199,INR,From India
UK5699,Vistara,UK,BOM,Mumbai,India,DOH,Doha,Qatar,2025-04-02 23:00,2025-04-03 08:53,593,1 Stop,71707,177352,INR,From India
BA4830,British Airways,BA,AMD,Ahmedabad,India,YYZ,Toronto,Canada,2025-06-30 05:15,2025-06-30 17:19,724,Direct,116424,258106,INR,From India
6E7186,IndiGo,6E,FRA,Frankfurt,Germany,CCU,Kolkata,India,2025-08-01 02:00,2025-08-01 14:47,767,1 Stop,107531,213818,INR,To India
QR2147,Qatar Airways,QR,SYD,Sydney,Australia,TRV,Thiruvananthapuram,India,2025-03-10 04:15,2025-03-10 18:42,867,1 Stop,118843,236612,INR,To India
UK8440,Vistara,UK,DOH,Doha,Qatar,COK,Kochi,India,2025-07-17 19:30,2025-07-17 23:38,248,1 Stop,99082,226291,INR,To India
6E1282,IndiGo,6E,DOH,Doha,Qatar,MAA,Chennai,India,2025-07-05 21:00,2025-07-06 06:08,548,Direct,23056,54401,INR,To India
SQ9770,Singapore Airlines,SQ,MAA,Chennai,India,LHR,London,UK,2025-03-14 14:30,2025-03-15 02:05,695,2+ Stops,27746,71635,INR,From India
SQ5523,Singapore Airlines,SQ,ICN,Seoul,South Korea,DEL,New Delhi,India,2025-02-27 15:15,2025-02-27 23:16,481,2+ Stops,102503,261281,INR,To India
EK8368,Emirates,EK,ICN,Seoul,South Korea,MAA,Chennai,India,2025-05-26 18:00,2025-05-27 00:48,408,1 Stop,42680,77792,INR,To India
QR9746,Qatar Airways,QR,CCU,Kolkata,India,JFK,New York,USA,2025-02-16 18:00,2025-02-17 03:49,589,1 Stop,71158,157235,INR,From India
BA2291,British Airways,BA,YYZ,Toronto,Canada,DEL,New Delhi,India,2025-10-01 10:30,2025-10-01 14:43,253,1 Stop,104118,227216,INR,To India
EK3281,Emirates,EK,TRV,Thiruvananthapuram,India,NRT,Tokyo,Japan,2025-06-25 19:15,2025-06-26 00:09,294,Direct,72805,140692,INR,From India
EK4953,Emirates,EK,YYZ,Toronto,Canada,AMD,Ahmedabad,India,2025-04-12 08:15,2025-04-12 20:48,753,2+ Stops,119030,281027,INR,To India
AI8910,Air India,AI,SYD,Sydney,Australia,TRV,Thiruvananthapuram,India,2025-02-03 11:15,2025-02-03 21:22,607,1 Stop,21705,53575,INR,To India
BA5920,British Airways,BA,BLR,Bengaluru,India,CDG,Paris,France,2025-07-02 09:00,2025-07-02 12:45,225,1 Stop,116910,226821,INR,From India
6E1455,IndiGo,6E,YYZ,Toronto,Canada,AMD,Ahmedabad,India,2025-06-26 03:15,2025-06-26 12:27,552,1 Stop,81769,178977,INR,To India
6E4227,IndiGo,6E,AMD,Ahmedabad,India,SFO,San Francisco,USA,2025-09-29 18:30,2025-09-30 06:10,700,2+ Stops,70974,139636,INR,From India
QR310,Qatar Airways,QR,SYD,Sydney,Australia,MAA,Chennai,India,2025-09-24 13:45,2025-09-24 19:29,344,Direct,77236,147293,INR,To India
LH9485,Lufthansa,LH,ICN,Seoul,South Korea,TRV,Thiruvananthapuram,India,2025-01-16 00:00,2025-01-16 10:54,654,2+ Stops,25668,50390,INR,To India
SQ5909,Singapore Airlines,SQ,SIN,Singapore,Singapore,CCU,Kolkata,India,2025-09-07 20:15,2025-09-07 23:22,187,1 Stop,51904,101916,INR,To India
UK7302,Vistara,UK,CDG,Paris,France,BOM,Mumbai,India,2025-04-14 14:45,2025-04-15 03:30,765,Direct,96747,245387,INR,To India
LH2039,Lufthansa,LH,SFO,San Francisco,USA,AMD,Ahmedabad,India,2025-05-04 22:45,2025-05-05 13:33,888,1 Stop,81828,186953,INR,To India
EK727,Emirates,EK,BOM,Mumbai,India,SYD,Sydney,Australia,2025-04-29 00:45,2025-04-29 13:24,759,Direct,117678,289377,INR,From India
AI3697,Air India,AI,YYZ,Toronto,Canada,MAA,Chennai,India,2025-01-21 14:00,2025-01-21 23:51,591,2+ Stops,51516,131516,INR,To India
LH1800,Lufthansa,LH,FRA,Frankfurt,Germany,GOI,Goa,India,2025-05-16 01:15,2025-05-16 12:14,659,2+ Stops,22388,48874,INR,To India
UK137,Vistara,UK,SFO,San Francisco,USA,BLR,Bengaluru,India,2025-09-21 10:00,2025-09-21 21:42,702,Direct,70019,177363,INR,To India
6E4867,IndiGo,6E,FRA,Frankfurt,Germany,GOI,Goa,India,2025-09-16 17:00,2025-09-16 20:55,235,1 Stop,106697,238614,INR,To India
EK3493,Emirates,EK,DEL,New Delhi,India,ICN,Seoul,South Korea,2025-01-14 05:45,2025-01-14 12:18,393,2+ Stops,36010,85217,INR,From India
6E4014,IndiGo,6E,BOM,Mumbai,India,CDG,Paris,France,2025-10-08 16:30,2025-10-09 07:03,873,Direct,32324,60454,INR,From India
QR5586,Qatar Airways,QR,DOH,Doha,Qatar,CCU,Kolkata,India,2025-06-09 09:15,2025-06-09 20:40,685,Direct,99485,224934,INR,To India
AI6774,Air India,AI,JFK,New York,USA,BOM,Mumbai,India,2025-03-01 21:15,2025-03-02 09:07,712,2+ Stops,70511,152620,INR,To India
AI4906,Air India,AI,LHR,London,UK,BOM,Mumbai,India,2025-01-17 21:15,2025-01-18 07:36,621,1 Stop,27184,52841,INR,To India
QR2769,Qatar Airways,QR,BLR,Bengaluru,India,DOH,Doha,Qatar,2025-06-29 00:30,2025-06-29 10:01,571,2+ Stops,32414,62549,INR,From India
BA3881,British Airways,BA,TRV,Thiruvananthapuram,India,YYZ,Toronto,Canada,2025-05-22 07:00,2025-05-22 17:02,602,2+ Stops,90495,164405,INR,From India
EK5239,Emirates,EK,CCU,Kolkata,India,LHR,London,UK,2025-06-26 02:15,2025-06-26 07:02,287,1 Stop,24637,60615,INR,From India
6E8921,IndiGo,6E,CCU,Kolkata,India,JFK,New York,USA,2025-08-24 05:15,2025-08-24 17:18,723,Direct,26999,62636,INR,From India
6E2038,IndiGo,6E,GOI,Goa,India,SYD,Sydney,Australia,2025-04-20 06:30,2025-04-20 09:43,193,Direct,113624,228174,INR,From India
UK1603,Vistara,UK,TRV,Thiruvananthapuram,India,FRA,Frankfurt,Germany,2025-05-27 12:15,2025-05-27 21:04,529,2+ Stops,53702,137932,INR,From India
UK1147,Vistara,UK,CDG,Paris,France,HYD,Hyderabad,India,2025-02-06 19:00,2025-02-07 09:51,891,2+ Stops,71266,145605,INR,To India
6E8460,IndiGo,6E,LHR,London,UK,GOI,Goa,India,2025-07-06 02:15,2025-07-06 14:45,750,2+ Stops,34793,82736,INR,To India
6E7389,IndiGo,6E,AMD,Ahmedabad,India,SFO,San Francisco,USA,2025-05-12 09:45,2025-05-12 19:43,598,2+ Stops,111327,261798,INR,From India
BA5846,British Airways,BA,SIN,Singapore,Singapore,AMD,Ahmedabad,India,2025-04-17 00:45,2025-04-17 07:36,411,2+ Stops,33969,84379,INR,To India
AI5211,Air India,AI,HYD,Hyderabad,India,CDG,Paris,France,2025-04-09 02:00,2025-04-09 07:41,341,2+ Stops,106408,247858,INR,From India
UK9432,Vistara,UK,BLR,Bengaluru,India,LHR,London,UK,2025-09-05 03:00,2025-09-05 12:32,572,2+ Stops,53284,123713,INR,From India
QR2988,Qatar Airways,QR,JFK,New York,USA,DEL,New Delhi,India,2025-01-09 08:15,2025-01-09 17:18,543,Direct,67662,151139,INR,To India
BA6338,British Airways,BA,HYD,Hyderabad,India,SIN,Singapore,Singapore,2025-03-28 16:00,2025-03-28 23:14,434,Direct,41734,84645,INR,From India
LH6283,Lufthansa,LH,DXB,Dubai,UAE,MAA,Chennai,India,2025-07-08 07:45,2025-07-08 15:14,449,1 Stop,20988,38627,INR,To India
SQ8163,Singapore Airlines,SQ,LHR,London,UK,HYD,Hyderabad,India,2025-08-14 15:00,2025-08-14 19:52,292,Direct,80286,180180,INR,To India
SQ1212,Singapore Airlines,SQ,BOM,Mumbai,India,NRT,Tokyo,Japan,2025-03-31 07:45,2025-03-31 18:15,630,1 Stop,27957,52968,INR,From India
EK3636,Emirates,EK,AMD,Ahmedabad,India,NRT,Tokyo,Japan,2025-06-24 17:00,2025-06-24 21:13,253,2+ Stops,86756,171596,INR,From India
LH5281,Lufthansa,LH,BOM,Mumbai,India,LHR,London,UK,2025-09-27 01:15,2025-09-27 13:09,714,Direct,42367,93562,INR,From India
QR1704,Qatar Airways,QR,NRT,Tokyo,Japan,BOM,Mumbai,India,2025-08-29 14:15,2025-08-29 18:31,256,Direct,79377,182947,INR,To India
6E8532,IndiGo,6E,CCU,Kolkata,India,JFK,New York,USA,2025-09-02 15:30,2025-09-02 21:34,364,Direct,86785,156968,INR,From India
EK5375,Emirates,EK,DEL,New Delhi,India,ICN,Seoul,South Korea,2025-09-14 21:15,2025-09-15 11:21,846,2+ Stops,67774,129856,INR,From India
UK688,Vistara,UK,FRA,Frankfurt,Germany,CCU,Kolkata,India,2025-04-28 00:45,2025-04-28 05:08,263,1 Stop,78901,155716,INR,To India
QR2806,Qatar Airways,QR,BLR,Bengaluru,India,DXB,Dubai,UAE,2025-06-11 18:15,2025-06-11 22:22,247,Direct,72689,132295,INR,From India
6E3645,IndiGo,6E,AMD,Ahmedabad,India,DXB,Dubai,UAE,2025-09-03 11:45,2025-09-04 02:13,868,Direct,47822,109845,INR,From India
SQ6867,Singapore Airlines,SQ,MAA,Chennai,India,DOH,Doha,Qatar,2025-05-20 07:30,2025-05-20 11:02,212,2+ Stops,73343,142432,INR,From India
UK7883,Vistara,UK,SIN,Singapore,Singapore,TRV,Thiruvananthapuram,India,2025-05-04 00:15,2025-05-04 13:37,802,2+ Stops,53796,122941,INR,To India
EK8655,Emirates,EK,BLR,Bengaluru,India,DOH,Doha,Qatar,2025-10-16 03:30,2025-10-16 13:36,606,Direct,39549,99991,INR,From India
EK4248,Emirates,EK,DEL,New Delhi,India,SFO,San Francisco,USA,2025-08-06 05:00,2025-08-06 17:59,779,2+ Stops,79299,192856,INR,From India
QR4845,Qatar Airways,QR,SYD,Sydney,Australia,BLR,Bengaluru,India,2025-07-29 03:00,2025-07-29 13:26,626,Direct,33645,86601,INR,To India
LH8501,Lufthansa,LH,BLR,Bengaluru,India,SFO,San Francisco,USA,2025-02-08 16:45,2025-02-09 00:52,487,2+ Stops,106918,248341,INR,From India
SQ1345,Singapore Airlines,SQ,DXB,Dubai,UAE,AMD,Ahmedabad,India,2025-09-30 18:30,2025-10-01 06:24,714,2+ Stops,93178,182083,INR,To India
UK4317,Vistara,UK,TRV,Thiruvananthapuram,India,BKK,Bangkok,Thailand,2025-05-12 20:15,2025-05-13 06:16,601,2+ Stops,68007,174440,INR,From India
SQ3053,Singapore Airlines,SQ,CDG,Paris,France,DEL,New Delhi,India,2025-04-20 21:30,2025-04-21 00:39,189,1 Stop,78313,170744,INR,To India
6E3909,IndiGo,6E,MAA,Chennai,India,BKK,Bangkok,Thailand,2025-04-18 17:45,2025-04-19 03:35,590,1 Stop,37554,94638,INR,From India
SQ1952,Singapore Airlines,SQ,COK,Kochi,India,FRA,Frankfurt,Germany,2025-07-07 04:15,2025-07-07 18:10,835,Direct,48173,120583,INR,From India
LH5754,Lufthansa,LH,CDG,Paris,France,COK,Kochi,India,2025-02-10 15:45,2025-02-11 00:25,520,2+ Stops,95623,213654,INR,To India
SQ4887,Singapore Airlines,SQ,CCU,Kolkata,India,SFO,San Francisco,USA,2025-01-11 21:15,2025-01-12 06:58,583,2+ Stops,68458,129639,INR,From India
EK9746,Emirates,EK,SYD,Sydney,Australia,MAA,Chennai,India,2025-07-10 09:30,2025-07-10 15:17,347,Direct,28484,64969,INR,To India
LH1505,Lufthansa,LH,CDG,Paris,France,DEL,New Delhi,India,2025-10-16 08:00,2025-10-16 12:11,251,2+ Stops,20622,50929,INR,To India
EK1549,Emirates,EK,SFO,San Francisco,USA,DEL,New Delhi,India,2025-04-01 08:15,2025-04-01 11:34,199,Direct,23138,43762,INR,To India
6E4335,IndiGo,6E,SIN,Singapore,Singapore,AMD,Ahmedabad,India,2025-09-26 11:30,2025-09-26 19:28,478,1 Stop,74707,179148,INR,To India
UK4408,Vistara,UK,DOH,Doha,Qatar,BOM,Mumbai,India,2025-05-17 02:00,2025-05-17 15:39,819,Direct,26858,63312,INR,To India
SQ4935,Singapore Airlines,SQ,CCU,Kolkata,India,ICN,Seoul,South Korea,2025-03-15 06:00,2025-03-15 11:37,337,2+ Stops,110784,236884,INR,From India
6E7508,IndiGo,6E,DOH,Doha,Qatar,MAA,Chennai,India,2025-08-31 03:00,2025-08-31 16:00,780,1 Stop,39955,78033,INR,To India
SQ3635,Singapore Airlines,SQ,JFK,New York,USA,TRV,Thiruvananthapuram,India,2025-10-18 13:15,2025-10-18 16:28,193,Direct,45260,115271,INR,To India
QR485,Qatar Airways,QR,MAA,Chennai,India,YYZ,Toronto,Canada,2025-09-15 13:30,2025-09-15 17:28,238,Direct,24050,47691,INR,From India
SQ2250,Singapore Airlines,SQ,MAA,Chennai,India,FRA,Frankfurt,Germany,2025-04-10 05:15,2025-04-10 13:33,498,Direct,106837,269106,INR,From India
BA5269,British Airways,BA,NRT,Tokyo,Japan,MAA,Chennai,India,2025-06-09 12:30,2025-06-10 00:25,715,Direct,114527,234219,INR,To India
EK2059,Emirates,EK,DEL,New Delhi,India,SIN,Singapore,Singapore,2025-03-20 05:15,2025-03-20 16:07,652,2+ Stops,23961,46919,INR,From India
QR1192,Qatar Airways,QR,AMD,Ahmedabad,India,ICN,Seoul,South Korea,2025-02-09 03:00,2025-02-09 16:38,818,1 Stop,70728,152053,INR,From India
SQ5255,Singapore Airlines,SQ,SIN,Singapore,Singapore,AMD,Ahmedabad,India,2025-08-04 22:30,2025-08-05 10:37,727,2+ Stops,78568,190433,INR,To India
SQ9234,Singapore Airlines,SQ,YYZ,Toronto,Canada,BOM,Mumbai,India,2025-02-15 20:30,2025-02-16 01:46,316,Direct,24899,61912,INR,To India
AI1504,Air India,AI,FRA,Frankfurt,Germany,AMD,Ahmedabad,India,2025-06-04 21:00,2025-06-05 11:16,856,Direct,64669,139030,INR,To India
AI5277,Air India,AI,BOM,Mumbai,India,SYD,Sydney,Australia,2025-01-18 09:15,2025-01-18 21:17,722,Direct,33965,80161,INR,From India
UK7605,Vistara,UK,BLR,Bengaluru,India,DXB,Dubai,UAE,2025-07-19 13:30,2025-07-19 22:41,551,2+ Stops,36157,90858,INR,From India
LH6542,Lufthansa,LH,DOH,Doha,Qatar,BOM,Mumbai,India,2025-09-01 07:15,2025-09-01 20:33,798,2+ Stops,57841,139223,INR,To India
EK7787,Emirates,EK,SYD,Sydney,Australia,BLR,Bengaluru,India,2025-09-10 03:30,2025-09-10 10:43,433,2+ Stops,23625,47347,INR,To India
BA1023,British Airways,BA,SIN,Singapore,Singapore,TRV,Thiruvananthapuram,India,2025-03-31 23:30,2025-04-01 14:09,879,Direct,44579,103767,INR,To India
AI5306,Air India,AI,SIN,Singapore,Singapore,TRV,Thiruvananthapuram,India,2025-05-12 19:00,2025-05-12 22:38,218,1 Stop,62868,124625,INR,To India
BA6826,British Airways,BA,HYD,Hyderabad,India,SIN,Singapore,Singapore,2025-07-22 12:30,2025-07-22 17:22,292,2+ Stops,49772,90090,INR,From India
UK7259,Vistara,UK,SYD,Sydney,Australia,DEL,New Delhi,India,2025-03-20 09:30,2025-03-20 21:06,696,1 Stop,105974,218383,INR,To India
BA8989,British Airways,BA,ICN,Seoul,South Korea,MAA,Chennai,India,2025-01-30 11:15,2025-01-30 19:42,507,2+ Stops,38230,95029,INR,To India
BA1744,British Airways,BA,NRT,Tokyo,Japan,GOI,Goa,India,2025-08-30 14:15,2025-08-30 23:03,528,Direct,67304,134572,INR,To India
AI960,Air India,AI,DEL,New Delhi,India,YYZ,Toronto,Canada,2025-04-28 11:00,2025-04-29 00:29,809,Direct,28868,63460,INR,From India
SQ5204,Singapore Airlines,SQ,COK,Kochi,India,DOH,Doha,Qatar,2025-07-14 09:45,2025-07-14 18:11,506,2+ Stops,65214,155665,INR,From India
6E3514,IndiGo,6E,TRV,Thiruvananthapuram,India,JFK,New York,USA,2025-09-06 14:45,2025-09-06 17:57,192,1 Stop,107233,212500,INR,From India
AI1612,Air India,AI,BOM,Mumbai,India,FRA,Frankfurt,Germany,2025-08-26 18:45,2025-08-26 22:09,204,Direct,114041,217224,INR,From India
BA7201,British Airways,BA,GOI,Goa,India,YYZ,Toronto,Canada,2025-02-22 07:00,2025-02-22 13:44,404,Direct,68067,170609,INR,From India
EK8149,Emirates,EK,BOM,Mumbai,India,BKK,Bangkok,Thailand,2025-06-18 09:30,2025-06-18 21:17,707,2+ Stops,115971,298972,INR,From India
LH1948,Lufthansa,LH,CDG,Paris,France,BLR,Bengaluru,India,2025-10-16 05:15,2025-10-16 08:32,197,2+ Stops,105100,235540,INR,To India
EK9274,Emirates,EK,DEL,New Delhi,India,LHR,London,UK,2025-09-17 00:15,2025-09-17 11:58,703,Direct,80608,205236,INR,From India
SQ4622,Singapore Airlines,SQ,FRA,Frankfurt,Germany,BLR,Bengaluru,India,2025-01-17 13:15,2025-01-18 02:31,796,Direct,110121,221047,INR,To India
SQ3983,Singapore Airlines,SQ,MAA,Chennai,India,ICN,Seoul,South Korea,2025-01-29 02:00,2025-01-29 10:48,528,2+ Stops,113965,220219,INR,From India
UK1899,Vistara,UK,MAA,Chennai,India,ICN,Seoul,South Korea,2025-04-30 19:15,2025-05-01 01:41,386,2+ Stops,96744,229982,INR,From India
EK1514,Emirates,EK,TRV,Thiruvananthapuram,India,SYD,Sydney,Australia,2025-05-21 13:00,2025-05-22 00:20,680,Direct,20227,43570,INR,From India
SQ4116,Singapore Airlines,SQ,BLR,Bengaluru,India,SIN,Singapore,Singapore,2025-03-30 20:15,2025-03-31 08:31,736,Direct,64046,136200,INR,From India
BA1492,British Airways,BA,BKK,Bangkok,Thailand,BLR,Bengaluru,India,2025-08-13 09:30,2025-08-13 15:15,345,Direct,103230,203859,INR,To India
6E9800,IndiGo,6E,SIN,Singapore,Singapore,TRV,Thiruvananthapuram,India,2025-09-17 09:15,2025-09-17 19:22,607,1 Stop,82876,204864,INR,To India
EK5863,Emirates,EK,HYD,Hyderabad,India,NRT,Tokyo,Japan,2025-08-31 18:15,2025-09-01 05:47,692,2+ Stops,42176,83775,INR,From India
6E6521,IndiGo,6E,BOM,Mumbai,India,BKK,Bangkok,Thailand,2025-07-02 23:45,2025-07-03 08:28,523,2+ Stops,66136,156343,INR,From India
AI6680,Air India,AI,CDG,Paris,France,AMD,Ahmedabad,India,2025-01-23 23:45,2025-01-24 08:47,542,1 Stop,86703,199760,INR,To India
AI9766,Air India,AI,BLR,Bengaluru,India,ICN,Seoul,South Korea,2025-03-17 20:30,2025-03-18 11:04,874,2+ Stops,72269,175816,INR,From India
UK2327,Vistara,UK,YYZ,Toronto,Canada,CCU,Kolkata,India,2025-10-10 17:45,2025-10-11 07:51,846,Direct,43909,89070,INR,To India
SQ5426,Singapore Airlines,SQ,AMD,Ahmedabad,India,NRT,Tokyo,Japan,2025-05-22 11:00,2025-05-22 19:58,538,2+ Stops,91957,204657,INR,From India
QR1200,Qatar Airways,QR,BOM,Mumbai,India,SIN,Singapore,Singapore,2025-07-19 19:30,2025-07-19 22:47,197,1 Stop,68560,167287,INR,From India
QR1074,Qatar Airways,QR,SIN,Singapore,Singapore,HYD,Hyderabad,India,2025-09-12 05:45,2025-09-12 09:07,202,2+ Stops,29925,58488,INR,To India
EK1854,Emirates,EK,DOH,Doha,Qatar,BLR,Bengaluru,India,2025-04-24 01:45,2025-04-24 09:15,450,Direct,35990,85898,INR,To India
EK3040,Emirates,EK,BKK,Bangkok,Thailand,BLR,Bengaluru,India,2025-01-22 23:45,2025-01-23 09:20,575,2+ Stops,75341,141229,INR,To India
6E2860,IndiGo,6E,LHR,London,UK,HYD,Hyderabad,India,2025-01-30 05:00,2025-01-30 08:39,219,Direct,22856,47134,INR,To India
UK7218,Vistara,UK,BLR,Bengaluru,India,JFK,New York,USA,2025-04-13 19:30,2025-04-14 09:58,868,1 Stop,45956,95979,INR,From India
SQ2812,Singapore Airlines,SQ,COK,Kochi,India,DOH,Doha,Qatar,2025-05-01 15:00,2025-05-02 05:29,869,Direct,112519,283565,INR,From India
AI9532,Air India,AI,FRA,Frankfurt,Germany,CCU,Kolkata,India,2025-08-18 16:00,2025-08-19 02:30,630,Direct,91739,223176,INR,To India
BA8238,British Airways,BA,AMD,Ahmedabad,India,LHR,London,UK,2025-07-23 16:15,2025-07-23 20:04,229,Direct,93507,206952,INR,From India
AI3197,Air India,AI,BLR,Bengaluru,India,SYD,Sydney,Australia,2025-09-15 22:00,2025-09-16 07:10,550,2+ Stops,74277,175624,INR,From India
SQ3556,Singapore Airlines,SQ,COK,Kochi,India,SIN,Singapore,Singapore,2025-10-25 19:15,2025-10-26 03:38,503,2+ Stops,69361,135440,INR,From India
BA9046,British Airways,BA,SYD,Sydney,Australia,TRV,Thiruvananthapuram,India,2025-06-13 20:30,2025-06-14 09:55,805,1 Stop,64147,123596,INR,To India
AI9709,Air India,AI,BOM,Mumbai,India,NRT,Tokyo,Japan,2025-03-19 13:00,2025-03-20 01:47,767,2+ Stops,74308,187684,INR,From India
UK7338,Vistara,UK,DEL,New Delhi,India,JFK,New York,USA,2025-02-23 12:30,2025-02-23 17:26,296,2+ Stops,99448,248322,INR,From India
SQ1165,Singapore Airlines,SQ,BOM,Mumbai,India,SYD,Sydney,Australia,2025-07-09 03:00,2025-07-09 14:25,685,2+ Stops,114608,233737,INR,From India
BA4648,British Airways,BA,HYD,Hyderabad,India,YYZ,Toronto,Canada,2025-04-17 16:45,2025-04-18 05:30,765,1 Stop,110787,271072,INR,From India
SQ8962,Singapore Airlines,SQ,COK,Kochi,India,FRA,Frankfurt,Germany,2025-03-03 01:15,2025-03-03 15:50,875,2+ Stops,58688,108151,INR,From India
LH1440,Lufthansa,LH,FRA,Frankfurt,Germany,CCU,Kolkata,India,2025-05-09 08:00,2025-05-09 18:35,635,Direct,82640,150442,INR,To India
SQ2338,Singapore Airlines,SQ,CDG,Paris,France,AMD,Ahmedabad,India,2025-02-12 23:30,2025-02-13 08:21,531,2+ Stops,99791,194417,INR,To India
QR3767,Qatar Airways,QR,ICN,Seoul,South Korea,BLR,Bengaluru,India,2025-06-23 05:15,2025-06-23 12:03,408,1 Stop,82114,204139,INR,To India
UK7367,Vistara,UK,DEL,New Delhi,India,DXB,Dubai,UAE,2025-06-05 02:45,2025-06-05 14:50,725,Direct,101872,253036,INR,From India
